n_features,n_informative,n_redundant,n_classes,model,accuracy,precision_weighted,recall_weighted,f1_weighted
5,3,0,2,Dummy Classifier,0.4862857142857143,0.4865427008160075,0.4862857142857143,0.486353696558467
5,3,0,2,Logistic Regression,0.8682857142857143,0.8683475064593266,0.8682857142857143,0.8682911930827928
5,3,0,2,Random Forest Classifier,0.9417142857142856,0.9419296770041783,0.9417142857142856,0.9417179891081927
10,5,2,2,Dummy Classifier,0.493,0.4932372993181036,0.493,0.4930605269932757
10,5,2,2,Logistic Regression,0.784142857142857,0.7848331584954109,0.784142857142857,0.7841185252001941
10,5,2,2,Random Forest Classifier,0.9390000000000001,0.9390732758028136,0.9390000000000001,0.9390036587086701
10,7,0,3,Dummy Classifier,0.34071428571428575,0.3408092079394465,0.34071428571428575,0.34064153830490523
10,7,0,3,Logistic Regression,0.7124285714285714,0.7113479977421466,0.7124285714285714,0.7112679552542436
10,7,0,3,Random Forest Classifier,0.8871428571428572,0.8875949946033781,0.8871428571428572,0.887076238222343
15,8,3,4,Dummy Classifier,0.24299999999999997,0.24374292480493126,0.24299999999999997,0.24315648783196547
15,8,3,4,Logistic Regression,0.5937142857142856,0.5947484642428265,0.5937142857142856,0.5934017814151514
15,8,3,4,Random Forest Classifier,0.8432857142857142,0.8440294121504092,0.8432857142857142,0.8432339962211929
20,10,5,2,Dummy Classifier,0.49871428571428567,0.49892591734152225,0.49871428571428567,0.49876772559018673
20,10,5,2,Logistic Regression,0.8167142857142858,0.817283676139823,0.8167142857142858,0.8166334362533242
20,10,5,2,Random Forest Classifier,0.923,0.9236874549871971,0.923,0.9229805073264996
8,5,1,3,Dummy Classifier,0.3347142857142857,0.335160019685785,0.3347142857142857,0.33478940566840154
8,5,1,3,Logistic Regression,0.6674285714285715,0.66617598170654,0.6674285714285715,0.6661206902906697
8,5,1,3,Random Forest Classifier,0.8651428571428571,0.8647177706185267,0.8651428571428571,0.8644935594245007
12,8,2,2,Dummy Classifier,0.4944285714285714,0.49501290527415076,0.4944285714285714,0.49457287413767526
12,8,2,2,Logistic Regression,0.7235714285714286,0.7243613968878908,0.7235714285714286,0.7236093348255792
12,8,2,2,Random Forest Classifier,0.9177142857142856,0.9180276681359082,0.9177142857142856,0.9177235496011423
25,15,5,5,Dummy Classifier,0.1967142857142857,0.19699997442144485,0.1967142857142857,0.19666004675232704
25,15,5,5,Logistic Regression,0.5874285714285714,0.5869018159321262,0.5874285714285714,0.5864672167547982
25,15,5,5,Random Forest Classifier,0.8098571428571428,0.810209109230908,0.8098571428571428,0.8095903906654363
18,12,3,3,Dummy Classifier,0.3281428571428571,0.3281274776391581,0.3281428571428571,0.3280540693488684
18,12,3,3,Logistic Regression,0.7138571428571427,0.7132783075978302,0.7138571428571427,0.7121253051351797
18,12,3,3,Random Forest Classifier,0.8978571428571428,0.8980682575449886,0.8978571428571428,0.8978466783086277
30,20,10,6,Dummy Classifier,0.16528571428571429,0.16606670115222483,0.16528571428571429,0.16549737308165718
30,20,10,6,Logistic Regression,0.5215714285714286,0.5216281672334043,0.5215714285714286,0.5208420410082021
30,20,10,6,Random Forest Classifier,0.754,0.7559427125659411,0.754,0.7537586938119076
